source,target,H,feature_set,model,raw_AUC,raw_Brier,raw_ECE10,raw_LogLoss,raw_PRAUC,raw_SensAtFPR10,raw_CalSlope,raw_CalIntercept,raw_AUC_lo,raw_AUC_hi,raw_AUC_percell_mean,raw_AUC_percell_std,raw_n_cells_valid,iso_AUC,iso_Brier,iso_ECE10,iso_LogLoss,iso_PRAUC,iso_SensAtFPR10,iso_CalSlope,iso_CalIntercept,iso_AUC_lo,iso_AUC_hi,iso_AUC_percell_mean,iso_AUC_percell_std,iso_n_cells_valid,platt_AUC,platt_Brier,platt_ECE10,platt_LogLoss,platt_PRAUC,platt_SensAtFPR10,platt_CalSlope,platt_CalIntercept,platt_AUC_lo,platt_AUC_hi,platt_AUC_percell_mean,platt_AUC_percell_std,platt_n_cells_valid,temp_AUC,temp_Brier,temp_ECE10,temp_LogLoss,temp_PRAUC,temp_SensAtFPR10,temp_CalSlope,temp_CalIntercept,temp_AUC_lo,temp_AUC_hi,temp_AUC_percell_mean,temp_AUC_percell_std,temp_n_cells_valid,endpoint,AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset
nasa,oxford,20,with_soh,xgboost,0.9569672131147541,0.22396174863241924,0.30585035278927536,0.6277339591007696,0.7835051546391752,1.0,51.00645942927637,-84.37710737755484,0.9313725490196078,0.9866071428571429,0.9591210014745268,0.03734592503416539,5.0,0.7151639344262295,0.19193993743085264,0.16600867197001967,0.5651692683980463,0.35348837209302325,0.18421052631578946,1129.324827192799,157.47988626189007,,,0.7159198238592479,0.022248970244174153,5.0,0.9569672131147541,0.16110251735041703,0.19477649826245658,0.5010650182546778,0.7835051546391752,1.0,194.4065309042607,-37.63828104057745,0.9313725490196078,0.9866071428571429,0.9591210014745268,0.03734592503416539,5.0,0.9569672131147541,0.21646613670207177,0.3452363836052033,0.6237488472717889,0.7835051546391752,1.0,184.89052613886983,-81.38665798848969,,,0.9591210014745268,0.03734592503416539,5.0,combined,,,,,,,,,,,,,,
nasa,oxford,20,no_soh,xgboost,0.5184426229508197,0.1952919733490451,0.12275142339931336,0.6017717479096916,0.24516129032258063,0.23684210526315788,0.8899746686719874,0.6392636977833481,0.5134099616858238,0.5224215246636772,0.5188299078169981,0.005660007950828878,5.0,0.4979508196721312,0.18523511609853652,0.06257269555103227,0.5609756741332521,0.2375,0.013157894736842105,-4.0899571960410785,-7.45356890559152,,,0.4981132075471698,0.004218996183961866,5.0,0.5184426229508197,0.1809963209705117,0.01375726233461326,0.547858453898016,0.24516129032258063,0.23684210526315788,4.272461836589892,3.9943301438226526,0.5134099616858238,0.5224215246636772,0.5188299078169981,0.005660007950828878,5.0,0.5184426229508197,0.20742061587283883,0.16417493683645196,0.6067636235886017,0.24516129032258063,0.23684210526315788,4.558973553116758,0.6324340424650333,,,0.5188299078169981,0.005660007950828878,5.0,combined,,,,,,,,,,,,,,
calce,oxford,20,with_soh,xgboost,0.8498166522864539,0.7466359893821133,0.7498526042792946,6.840131803640273,0.6732574368063132,0.8289473684210527,6.199893093301399,-60.00404637168361,0.7638724911452184,0.909516172146485,0.7627492810446868,0.2453738942000501,5.0,0.5922131147540984,0.7309145106261385,0.7440333834109938,8.950304723348264,0.27636363636363637,0.21052631578947367,0.7782896376517996,-11.715022753926084,,,0.5926563048559077,0.012755887388305402,5.0,0.8498166522864539,0.6649732362541035,0.6961985903495144,2.0949830876034072,0.6732574368063132,0.8289473684210527,30.63165995537812,-83.48242857775494,0.7638724911452184,0.909516172146485,0.7627492810446868,0.2453738942000501,5.0,0.8498166522864539,0.6729713744318356,0.7028058935050574,2.2543300329732148,0.6732574368063132,0.8289473684210527,19.27230697151075,-59.88078790090594,,,0.7627492810446868,0.2453738942000501,5.0,combined,,,,,,,,,,,,,,
calce,oxford,20,no_soh,xgboost,0.41630716134598794,0.7450935951308141,0.7487706566695123,6.608646328180148,0.24288579592380138,0.14473684210526316,0.38370775064764256,-4.577181849293299,0.26384571219335956,0.5544732643230932,0.3596208189216081,0.20810678191038437,5.0,0.5362920621225196,0.666485154053667,0.6980061986250645,2.799860147897557,0.252880393419589,0.17105263157894737,0.04416879923519991,-1.3349574011157024,,,0.5169645228897829,0.06287440719992662,5.0,0.41630716134598794,0.6627150228970171,0.694596477576048,2.075796046777364,0.24288579592380138,0.14473684210526316,414.70704228182205,-1104.935403230226,0.26384571219335956,0.5544732643230932,0.3596208189216081,0.20810678191038437,5.0,0.41630716134598794,0.6563887214976013,0.689765123639692,2.098578258230872,0.24288579592380138,0.14473684210526316,1.2945244278216452,-4.696154239068999,,,0.3596208189216081,0.20810678191038437,5.0,combined,,,,,,,,,,,,,,
nasa+calce,oxford,20,with_soh,xgboost,0.916576790336497,0.7490665664485372,0.7533696034923195,5.890154366419248,0.7748719780437094,0.6447368421052632,5.852935391381567,-49.963483985886185,0.8777808676307007,0.9651821862348178,0.8260860182112468,0.2654845326054119,5.0,0.8970017256255394,0.6601552804019007,0.702482534515254,2.34928818548577,0.7147740274599542,0.5789473684210527,0.4215800358130288,-3.2249372882624683,,,0.8603968629557404,0.1726867457593728,5.0,0.916576790336497,0.6431431345201006,0.680383923761849,1.9368020757953075,0.7748719780437094,0.6447368421052632,4423.6592821741315,-10886.803036579118,0.8777808676307007,0.9651821862348178,0.8260860182112468,0.2654845326054119,5.0,0.916576790336497,0.6495942793210745,0.6883533376918342,2.028814231997326,0.7748719780437094,0.6447368421052632,17.63745753566964,-49.92528618583831,,,0.8260860182112468,0.2654845326054119,5.0,combined,,,,,,,,,,,,,,
nasa+calce,oxford,20,no_soh,xgboost,0.42852135461604834,0.7459864644066104,0.7499099826905876,5.548871057094364,0.2201215788778106,0.14473684210526316,0.3371931291190813,-3.671940712482135,0.2790544496487119,0.5970627367619848,0.4145944900468499,0.2402403914056388,5.0,0.5368852459016394,0.6557001221693282,0.6901797877973221,2.166166473686231,0.25249169435215946,0.23684210526315788,0.16676596377789238,-1.6314219386240085,,,0.5372738808140992,0.007039908618763191,5.0,0.42852135461604834,0.6452193891966121,0.6818382256338881,1.9617021404307053,0.2201215788778106,0.14473684210526316,118.44401402464516,-297.9681255902037,0.2790544496487119,0.5970627367619848,0.4145944900468499,0.2402403914056388,5.0,0.42852135461604834,0.6304049593332193,0.6710194294136802,1.8950133191006273,0.2201215788778106,0.14473684210526316,1.0390299859838061,-3.673974096431898,,,0.4145944900468499,0.2402403914056388,5.0,combined,,,,,,,,,,,,,,
nasa,severson,20,with_soh,xgboost,0.8709116451061072,0.5983053318719616,0.7559787019947887,1.5474362803588957,0.5596438802470389,0.7038398692810458,2.3839914017185784,-8.466644463382998,0.7666774199336489,0.9972641085009039,0.9968024653692945,0.010490422624882019,40.0,0.6342582812568301,0.21487261618935377,0.44539439583931,0.622350584077232,0.2534037470323593,0.2549019607843137,4.48769997502938,-3.491608092775296,,,0.6966041918034908,0.19036944677411022,40.0,0.8709116451061072,0.2656058322881694,0.4951359033760476,0.7238473207621169,0.5596438802470389,0.7038398692810458,13.49255945083106,-6.830997230561657,0.7666774199336489,0.9972641085009039,0.9968024653692945,0.010490422624882019,40.0,0.8709116451061072,0.33949655667285494,0.5668660075522165,0.8748651742442949,0.5596438802470389,0.7038398692810458,8.936366140860008,-8.462428577359212,,,0.9968024653692945,0.010490422624882019,40.0,combined,,,,,,,,,,,,,,
nasa,severson,20,no_soh,xgboost,0.5949482106609295,0.7904935712442785,0.8750796302387153,2.3958167100272507,0.028596902061384044,0.19526143790849673,0.4090520153428935,-4.848418004972717,0.5097073804558034,0.7256666124813232,0.6764388469934122,0.1835470161285901,40.0,0.5586026709501472,0.23300393931321323,0.46116024312737847,0.6591270440217107,0.023548072263054547,0.0,12.176581473480196,-3.0341404340888043,,,0.5958835679727883,0.07396522927598044,40.0,0.5949482106609295,0.27634503579189046,0.5053852235790292,0.7458583507119746,0.028596902061384044,0.19526143790849673,3.4469077638783,-4.271307023709123,0.5097073804558034,0.7256666124813232,0.6764388469934122,0.1835470161285901,40.0,0.5949482106609295,0.3694728311484701,0.5902857008962521,0.93769264467101,0.028596902061384044,0.19526143790849673,2.1029457612398543,-4.847876948101355,,,0.6764388469934122,0.1835470161285901,40.0,combined,,,,,,,,,,,,,,
calce,severson,20,with_soh,xgboost,0.85033119627046,0.8345291869208821,0.852956805457389,5.859928987153278,0.42850762087173266,0.7152777777777778,3.1744963509445783,-29.290561158355956,0.7489054091341402,0.9670249243258106,0.9572397692767105,0.05382744389638495,40.0,0.7962983656927406,0.7467488957755017,0.8434709706872049,2.2778435110628004,0.38935593653590694,0.7953431372549019,31.422139864687708,-88.31213423826865,,,0.9071507065299809,0.03523466151589355,40.0,0.85033119627046,0.8108488305888178,0.8868163593042145,2.4928899887750005,0.42850762087173266,0.7152777777777778,5271.045125199021,-14172.558428206643,0.7489054091341402,0.9670249243258106,0.9572397692767105,0.05382744389638495,40.0,0.85033119627046,0.6842897501160858,0.7878367518770061,2.0244270436870906,0.42850762087173266,0.7152777777777778,9.898332672675007,-29.31700942676028,,,0.9572397692767105,0.05382744389638495,40.0,combined,,,,,,,,,,,,,,
calce,severson,20,no_soh,xgboost,0.6823804443056531,0.8463492574578586,0.8605236824913287,6.813348080296975,0.03234715046446174,0.2246732026143791,2.265892044175458,-23.832933216547943,0.6695810128960987,0.6949983211671952,0.8062152585647459,0.08183072003731415,40.0,0.67406164068667,0.7620549814278178,0.8515150840582827,2.389245548269573,0.031547611376728485,0.6066176470588235,43.22013761409471,-123.36268805539163,,,0.7920198492273073,0.07803724294949163,40.0,0.6823804443056531,0.8134114343498595,0.888684583884731,2.492241572888772,0.03234715046446174,0.2246732026143791,4.382556802770678,-15.346929799730624,0.6695810128960987,0.6949983211671952,0.8062152585647459,0.08183072003731415,40.0,0.6823804443056531,0.7190721777661627,0.8115538860803059,2.2165279047765343,0.03234715046446174,0.2246732026143791,5.947152137277397,-19.84543736874705,,,0.8062152585647459,0.08183072003731415,40.0,combined,,,,,,,,,,,,,,
