target,model,feature_set,method,threshold,net_benefit
severson,xgboost,no_soh,raw,0.05,-0.03061089004140196
severson,xgboost,no_soh,raw,0.1,-0.08602430629288924
severson,xgboost,no_soh,raw,0.15,-0.1415599035271933
severson,xgboost,no_soh,raw,0.2,-0.20484757366494236
severson,xgboost,no_soh,raw,0.25,-0.2709442873038928
severson,xgboost,no_soh,raw,0.3,-0.3505520547795603
severson,xgboost,no_soh,raw,0.35,-0.44126373673044417
severson,xgboost,no_soh,raw,0.4,-0.5490858950074607
severson,xgboost,no_soh,raw,0.45,-0.673412513638796
severson,xgboost,no_soh,raw,0.5,-0.8253786237885313
severson,xgboost,no_soh,raw,0.55,-1.0129497027542542
severson,xgboost,no_soh,raw,0.6,-1.2447952501082993
severson,xgboost,no_soh,raw,0.65,-1.5450847770242313
severson,xgboost,no_soh,raw,0.7,-1.9462947390475862
severson,xgboost,no_soh,raw,0.75,-2.5064852330351908
severson,xgboost,no_soh,raw,0.8,-3.3267928887529843
severson,xgboost,no_soh,raw,0.85,-4.648602581635224
severson,xgboost,no_soh,raw,0.9,-6.303646510205643
severson,xgboost,no_soh,raw,0.95,-12.056647045332914
severson,xgboost,no_soh,platt,0.05,-0.030743665984010564
severson,xgboost,no_soh,platt,0.1,-0.08800720298312227
severson,xgboost,no_soh,platt,0.15,-0.15200762668801182
severson,xgboost,no_soh,platt,0.2,-0.22400810335601254
severson,xgboost,no_soh,platt,0.25,-0.3056086435797467
severson,xgboost,no_soh,platt,0.3,-0.3988664038354429
severson,xgboost,no_soh,platt,0.35,-0.5064715118227846
severson,xgboost,no_soh,platt,0.4,-0.6320108044746835
severson,xgboost,no_soh,platt,0.45,-0.7779291269085626
severson,xgboost,no_soh,platt,0.5,-0.9282759557967876
severson,xgboost,no_soh,platt,0.55,-1.0811571962350448
severson,xgboost,no_soh,platt,0.6,-1.2851591366613153
severson,xgboost,no_soh,platt,0.65,-1.5728325221483241
severson,xgboost,no_soh,platt,0.7,-1.968611528736901
severson,xgboost,no_soh,platt,0.75,-2.517722905995974
severson,xgboost,no_soh,platt,0.8,-3.354109862480783
severson,xgboost,no_soh,platt,0.85,-4.754158561894973
severson,xgboost,no_soh,platt,0.9,-6.405473587646206
severson,xgboost,no_soh,platt,0.95,0.0
severson,xgboost,no_soh,iso,0.05,-0.030743665984010564
severson,xgboost,no_soh,iso,0.1,-0.08800720298312227
severson,xgboost,no_soh,iso,0.15,-0.15200762668801182
severson,xgboost,no_soh,iso,0.2,-0.22400810335601254
severson,xgboost,no_soh,iso,0.25,-0.3056086435797467
severson,xgboost,no_soh,iso,0.3,-0.3988664038354429
severson,xgboost,no_soh,iso,0.35,-0.5064715118227846
severson,xgboost,no_soh,iso,0.4,-0.6320108044746835
severson,xgboost,no_soh,iso,0.45,-0.7803754230632909
severson,xgboost,no_soh,iso,0.5,-0.6128736335142573
severson,xgboost,no_soh,iso,0.55,-0.6902773884656006
severson,xgboost,no_soh,iso,0.6,-0.8518079657518537
severson,xgboost,no_soh,iso,0.65,-1.0595702236249598
severson,xgboost,no_soh,iso,0.7,-1.3365865674557669
severson,xgboost,no_soh,iso,0.75,-1.7229569604770276
severson,xgboost,no_soh,iso,0.8,-2.3042071197411005
severson,xgboost,no_soh,iso,0.85,-3.2729573851812206
severson,xgboost,no_soh,iso,0.9,-1.038180906998276
severson,xgboost,no_soh,iso,0.95,0.0
