eval,dataset,model,AUC_cal,Brier_cal
train_nasa_with_soh,oxford,xgboost,0.959,0.342
train_nasa_with_soh,oxford,lightgbm,1.0,0.419
train_nasa_with_soh,oxford,random_forest,1.0,0.522
train_calce_with_soh,oxford,xgboost,0.572,0.776
train_calce_with_soh,oxford,lightgbm,0.837,0.775
train_calce_with_soh,oxford,random_forest,0.766,0.774
train_nasa+calce_with_soh,oxford,xgboost,0.815,0.779
train_nasa+calce_with_soh,oxford,lightgbm,0.969,0.775
train_nasa+calce_with_soh,oxford,random_forest,0.992,0.737
train_nasa_no_soh,oxford,xgboost,0.519,0.206
train_nasa_no_soh,oxford,lightgbm,0.448,0.206
train_nasa_no_soh,oxford,random_forest,0.442,0.715
train_calce_no_soh,oxford,xgboost,0.388,0.776
train_calce_no_soh,oxford,lightgbm,0.41,0.775
train_calce_no_soh,oxford,random_forest,0.435,0.776
train_nasa+calce_no_soh,oxford,xgboost,0.417,0.776
train_nasa+calce_no_soh,oxford,lightgbm,0.316,0.775
train_nasa+calce_no_soh,oxford,random_forest,0.608,0.745
train_nasa_with_soh,severson,xgboost,0.997,0.831
train_nasa_with_soh,severson,lightgbm,0.992,0.874
train_nasa_with_soh,severson,random_forest,0.999,0.845
train_calce_with_soh,severson,xgboost,0.973,0.707
train_calce_with_soh,severson,lightgbm,0.952,0.709
train_calce_with_soh,severson,random_forest,0.996,0.64
train_nasa+calce_with_soh,severson,xgboost,0.995,0.691
train_nasa+calce_with_soh,severson,lightgbm,0.993,0.783
train_nasa+calce_with_soh,severson,random_forest,0.996,0.476
train_nasa_no_soh,severson,xgboost,0.676,0.889
train_nasa_no_soh,severson,lightgbm,0.535,0.911
train_nasa_no_soh,severson,random_forest,0.836,0.907
train_calce_no_soh,severson,xgboost,0.797,0.716
train_calce_no_soh,severson,lightgbm,0.83,0.733
train_calce_no_soh,severson,random_forest,0.87,0.697
train_nasa+calce_no_soh,severson,xgboost,0.86,0.704
train_nasa+calce_no_soh,severson,lightgbm,0.808,0.743
train_nasa+calce_no_soh,severson,random_forest,0.876,0.568
train_nasa_with_soh,oxford,gru,0.475,0.565
train_calce_with_soh,oxford,gru,0.5,0.762
train_nasa+calce_with_soh,oxford,gru,0.515,0.762
train_nasa_no_soh,oxford,gru,0.309,0.71
train_calce_no_soh,oxford,gru,0.031,0.762
train_nasa+calce_no_soh,oxford,gru,0.115,0.762
train_nasa_with_soh,severson,gru,0.578,0.021
train_calce_with_soh,severson,gru,0.5,0.979
train_nasa+calce_with_soh,severson,gru,0.48,0.07
train_nasa_no_soh,severson,gru,0.488,0.267
train_calce_no_soh,severson,gru,0.444,0.979
train_nasa+calce_no_soh,severson,gru,0.49,0.423
within,nasa,xgboost,0.899,0.234
within,nasa,lightgbm,0.909,0.289
within,nasa,random_forest,0.901,0.245
within,calce,xgboost,0.926,0.103
within,calce,lightgbm,0.924,0.106
within,calce,random_forest,0.889,0.096
within,nasa,gru,0.884,0.194
within,calce,gru,0.779,0.127
