dataset,model_a,model_b,H,setting,AUC_a,AUC_b,p_value,significant_0.05
nasa,xgboost,lightgbm,20,within,0.8068772659565498,0.7931239385386262,0.014219084892218643,True
nasa,xgboost,random_forest,20,within,0.8068772659565498,0.800379014482047,0.3341805184929819,False
nasa,lightgbm,random_forest,20,within,0.7931239385386262,0.800379014482047,0.16994460302053538,False
calce,xgboost,lightgbm,20,within,0.8863347313874189,0.8783919116943175,1.1108399110328798e-05,True
calce,xgboost,random_forest,20,within,0.8863347313874189,0.8567185668385219,4.6277308293482796e-27,True
calce,lightgbm,random_forest,20,within,0.8783919116943175,0.8567185668385219,1.4414490318076444e-17,True
oxford,xgboost_with_soh,xgboost_no_soh,20,cross_chem_soh_ablation,0.916576790336497,0.42852135461604834,7.22745007322145e-51,True
oxford,lightgbm_with_soh,lightgbm_no_soh,20,cross_chem_soh_ablation,0.9712036238136325,0.3318593615185505,2.5829021396747318e-64,True
oxford,random_forest_with_soh,random_forest_no_soh,20,cross_chem_soh_ablation,0.989376617773943,0.5808617342536668,6.485612466636595e-36,True
oxford,xgboost,lightgbm,20,cross_chem_with_soh,0.916576790336497,0.9712036238136325,0.002963542413121496,True
oxford,xgboost,random_forest,20,cross_chem_with_soh,0.916576790336497,0.989376617773943,9.094952417813533e-06,True
oxford,lightgbm,random_forest,20,cross_chem_with_soh,0.9712036238136325,0.989376617773943,0.03211792443605538,True
severson,xgboost_with_soh,xgboost_no_soh,20,cross_chem_soh_ablation,0.8959900617660977,0.7501329108844753,0.0,True
severson,lightgbm_with_soh,lightgbm_no_soh,20,cross_chem_soh_ablation,0.8821906211211219,0.7181351181792622,0.0,True
severson,random_forest_with_soh,random_forest_no_soh,20,cross_chem_soh_ablation,0.8892970702505665,0.7460935943080371,0.0,True
severson,xgboost,lightgbm,20,cross_chem_with_soh,0.8959900617660977,0.8821906211211219,1.0394154028257999e-20,True
severson,xgboost,random_forest,20,cross_chem_with_soh,0.8959900617660977,0.8892970702505665,0.0037187587919156355,True
severson,lightgbm,random_forest,20,cross_chem_with_soh,0.8821906211211219,0.8892970702505665,0.005939488850794652,True
