features,model,k,zeroshot_ece,zeroshot_brier,iso_ece,iso_brier,iso_auc,platt_ece,platt_brier,platt_auc,temp_ece,temp_brier,temp_auc
no_soh,lightgbm,5,0.9361,0.8968,0.0445,0.0262,0.5002,0.0477,0.0306,0.4799,0.5602,0.3335,0.5136
no_soh,lightgbm,10,0.9347,0.8959,0.0096,0.0213,0.49,0.0101,0.0212,0.5076,0.5586,0.3334,0.4841
no_soh,lightgbm,20,0.9331,0.894,0.0124,0.0223,0.4791,0.0118,0.0222,0.5093,0.5573,0.333,0.4781
no_soh,lightgbm,40,0.9346,0.8955,0.0145,0.0211,0.4772,0.0147,0.021,0.5112,0.5588,0.3333,0.4888
no_soh,random_forest,5,0.5325,0.3038,0.0485,0.028,0.6504,0.0488,0.0274,0.6528,0.4856,0.255,0.7439
no_soh,random_forest,10,0.531,0.304,0.0122,0.0212,0.6552,0.011,0.0212,0.717,0.4838,0.255,0.717
no_soh,random_forest,20,0.5294,0.3032,0.0139,0.0222,0.6492,0.0138,0.0223,0.7144,0.4827,0.2549,0.7144
no_soh,random_forest,40,0.5315,0.3042,0.015,0.0212,0.6788,0.0153,0.0212,0.718,0.4842,0.255,0.718
no_soh,xgboost,5,0.8728,0.8241,0.043,0.0284,0.6427,0.0436,0.0282,0.6202,0.5893,0.371,0.6964
no_soh,xgboost,10,0.8712,0.8228,0.01,0.0211,0.6742,0.0095,0.0211,0.6687,0.5875,0.3706,0.684
no_soh,xgboost,20,0.8694,0.8207,0.0132,0.0221,0.6812,0.0127,0.0221,0.683,0.5863,0.37,0.683
no_soh,xgboost,40,0.872,0.8236,0.0152,0.021,0.677,0.0148,0.021,0.6858,0.5882,0.371,0.6858
with_soh,lightgbm,5,0.7967,0.6549,0.0446,0.0241,0.832,0.0435,0.0194,0.912,0.5252,0.2872,0.912
with_soh,lightgbm,10,0.7952,0.6542,0.0082,0.0111,0.8275,0.0107,0.0116,0.8896,0.5235,0.2871,0.8896
with_soh,lightgbm,20,0.7934,0.6522,0.0091,0.0116,0.8173,0.0117,0.0122,0.8864,0.5226,0.2869,0.8864
with_soh,lightgbm,40,0.7957,0.6547,0.014,0.0114,0.8465,0.0164,0.0122,0.8954,0.5237,0.2872,0.8954
with_soh,random_forest,5,0.454,0.2222,0.0445,0.0192,0.8377,0.0467,0.0181,0.8885,0.3026,0.1462,0.8885
with_soh,random_forest,10,0.4524,0.2224,0.0097,0.0116,0.8195,0.0104,0.0117,0.8575,0.2813,0.138,0.8575
with_soh,random_forest,20,0.451,0.222,0.0096,0.012,0.8132,0.0103,0.012,0.8544,0.2829,0.1359,0.8544
with_soh,random_forest,40,0.4528,0.2226,0.0147,0.0118,0.8303,0.0165,0.0124,0.8645,0.2732,0.1365,0.8645
with_soh,xgboost,5,0.794,0.6569,0.0439,0.0215,0.8329,0.0477,0.0207,0.9021,0.5197,0.2882,0.9022
with_soh,xgboost,10,0.793,0.6566,0.0086,0.0116,0.8162,0.0112,0.0123,0.877,0.5179,0.2881,0.877
with_soh,xgboost,20,0.7903,0.6538,0.0101,0.0123,0.8027,0.0126,0.0128,0.874,0.5167,0.2878,0.874
with_soh,xgboost,40,0.793,0.6566,0.0146,0.0118,0.8358,0.0186,0.0136,0.8836,0.5183,0.2882,0.8836
