features,model,k,zeroshot_auc,within_lco_ceiling,full_lfp_ceiling,arm_b_auc,recovery_ratio,retrain_proximity,delong_p,lco_ret_before,lco_ret_after
no_soh,lightgbm,5,0.5136,0.8858,0.9999,0.774,0.695,0.531,2.3819132227299685e-126,1.0,0.9882
no_soh,lightgbm,10,0.4841,0.8858,0.9999,0.8244,0.847,0.66,0.0,1.0,0.9997
no_soh,lightgbm,20,0.4781,0.8858,0.9999,0.8075,0.809,0.632,0.0,1.0,0.9956
no_soh,lightgbm,40,0.4888,0.8858,0.9999,0.8482,0.926,0.712,0.0,1.0,0.9971
no_soh,random_forest,5,0.7439,0.8667,0.9979,0.7259,-0.244,-0.08,9.535740292795551e-06,0.9595,0.3682
no_soh,random_forest,10,0.717,0.8667,0.9979,0.7464,0.205,0.107,0.006340322105701271,0.9595,0.4573
no_soh,random_forest,20,0.7144,0.8667,0.9979,0.7233,0.06,0.032,0.010815771947451435,0.9595,0.5242
no_soh,random_forest,40,0.718,0.8667,0.9979,0.8426,1.052,0.452,2.037959774322021e-90,0.9595,0.3404
no_soh,xgboost,5,0.6964,0.8817,0.9997,0.7527,0.223,0.13,0.00564054939687246,0.8958,0.7367
no_soh,xgboost,10,0.684,0.8817,0.9997,0.7791,0.422,0.257,0.06208068881577837,0.8958,0.8289
no_soh,xgboost,20,0.683,0.8817,0.9997,0.7304,0.138,0.08,0.015591434805134882,0.8958,0.6916
no_soh,xgboost,40,0.6858,0.8817,0.9997,0.7785,0.449,0.255,6.653040788554826e-09,0.8958,0.608
with_soh,lightgbm,5,0.912,0.9092,1.0,0.8599,-2.228,-3.081,1.2737803683218073e-25,1.0,0.9976
with_soh,lightgbm,10,0.8896,0.9092,1.0,0.8457,-2.28,-0.399,3.0332801390009145e-39,1.0,0.9997
with_soh,lightgbm,20,0.8864,0.9092,1.0,0.858,-1.28,-0.252,6.628013338760531e-14,1.0,0.999
with_soh,lightgbm,40,0.8954,0.9092,1.0,0.8443,-1.578,-0.996,0.08640892563278312,1.0,1.0
with_soh,random_forest,5,0.8885,0.9014,0.9988,0.8272,-1.013,-34.05,0.02150482180600764,1.0,0.7327
with_soh,random_forest,10,0.8575,0.9014,0.9988,0.8529,-0.095,-0.031,1.0975910142777735e-06,1.0,0.8149
with_soh,random_forest,20,0.8544,0.9014,0.9988,0.8349,-0.45,-0.138,3.4211711977563145e-31,1.0,0.8839
with_soh,random_forest,40,0.8645,0.9014,0.9988,0.8636,-0.029,-1.683,2.2393437958493936e-09,1.0,0.7893
with_soh,xgboost,5,0.9022,0.899,0.9999,0.8527,-1.534,-2.53,0.0833461420688546,1.0,1.0
with_soh,xgboost,10,0.877,0.899,0.9999,0.8565,-0.863,-0.164,3.922484981077601e-06,1.0,0.9992
with_soh,xgboost,20,0.874,0.899,0.9999,0.857,-0.665,-0.134,0.00953150005181001,1.0,0.9982
with_soh,xgboost,40,0.8836,0.899,0.9999,0.8885,0.164,-0.404,5.737933036112751e-08,1.0,0.9945
